pub_year,10036,10052,10057,10331,10388,10444,10531,10586,10601,10627,10638,10688,10775,10799,10812,10824,10888,10901,11017,11019,11105,11165,11349,11439,11448,11605,11714,12292,12357,12549,12874,12923,13579,14319,14339
2008,360,4539,4337,3166,3397,3397,7569,4956,1440,6048,4300,6301,342,1904,1412,6036,2103,4911,3710,1785,2284,2218,3636,4133,1666,815,281,608,1697,2578,654,1185,2591,247,5718
2009,454,4807,4598,3721,3840,3598,8239,5595,1700,7210,4393,6752,422,2110,1593,6680,2273,4852,4160,2095,2553,2408,3985,4316,1827,1023,375,696,2003,2891,728,1143,2708,251,5891
2010,499,5249,5170,4200,4046,3990,8848,6083,1851,7878,4881,7012,481,2260,1763,7266,2629,4694,4440,2478,2878,2722,4359,4569,2224,1886,446,794,2169,3217,872,1116,2829,319,6122
2011,682,5131,5009,4411,3744,4064,8818,6335,1915,8002,5094,7002,492,2361,1889,6958,2930,4271,4387,2520,3019,2648,4451,4317,2084,1503,505,888,1991,3034,930,1210,2495,336,5388
2012,719,5097,5412,4814,4079,4338,8589,6518,1916,8327,4939,7285,549,2470,2065,7110,3089,4152,4918,2633,3204,2718,4575,4269,2232,1642,515,1200,2324,3008,1153,1103,2366,376,4762
2013,986,5220,5632,5289,4396,4651,8786,6778,2154,9041,5287,7602,574,2643,2477,7309,3491,3948,5248,3055,3456,3013,4819,4294,2539,1837,664,1275,2497,2984,1188,1089,2150,439,4653
2014,1171,5156,5979,5740,4394,4956,8717,6610,2224,9181,5296,7250,625,3038,2682,7348,3780,3489,5523,3237,3600,3272,4886,4138,2718,2026,748,1455,2656,2877,1405,1113,1793,484,4679
2015,1513,4744,6098,5888,4224,5231,8197,6515,2257,9145,5371,6933,743,3125,2788,6924,3887,3251,5309,3292,3455,3253,4878,3927,2796,2196,941,1672,2674,2628,1566,1013,1470,529,4778
2016,2065,4545,5781,5946,4021,5358,7717,6505,2141,8501,5156,6485,859,3171,2949,6364,3977,3038,5187,3200,3294,3271,5395,3604,2877,2322,1224,1790,2552,2364,1862,944,1101,530,4471
2017,3338,4199,5998,6509,3830,5208,7452,7031,2333,8307,5032,6275,1369,2937,3475,5798,4377,2630,5162,3429,3380,3087,4525,3353,3288,2342,1783,1771,2556,2290,1899,897,953,653,4440
2018,5441,4087,5945,7473,4185,5509,7559,7966,2409,8239,5188,6403,2078,2943,4023,5362,5027,2455,5475,3774,3874,3102,4344,3418,3539,2407,2481,1772,2996,2383,2353,828,922,973,4496
2019,8430,4259,6277,8825,4396,5249,8168,8789,2811,8957,5575,6772,2980,3077,5124,5254,5724,2315,5694,4366,4779,3213,4220,3450,4279,2718,3623,1857,3453,2588,2862,871,884,1288,4810
2020,10046,3766,5525,8897,4080,4864,7362,8562,2642,8321,4937,6294,3282,2941,5355,4354,5676,2026,5328,4378,5024,2866,3947,3260,4164,2729,4327,1684,3610,2362,3199,838,768,1347,4093
2021,14045,3790,5694,10473,4169,4394,8143,9408,2696,9393,5172,6472,4333,2639,6972,4093,5286,1738,5256,5249,6001,2709,3355,3376,5155,3052,6351,1735,4056,2428,3660,715,625,1722,3814
2022,16170,3533,5193,11071,4111,4236,7869,9422,2453,9083,5060,6442,4018,2247,6782,3598,5230,1594,5085,5805,6223,2790,2689,2960,5154,3386,6064,1526,4152,2357,3810,567,530,1846,2941
2023,19835,3806,5000,11755,4379,4258,8786,10563,2903,9941,5404,6891,5307,2243,7967,3600,5779,1655,5302,6493,6934,2906,3037,3356,5362,3723,7917,1578,4681,2336,4166,607,635,2090,3396
2024,14619,5644,5453,9981,4356,4698,7614,12759,3195,8681,5524,8148,4713,2349,6680,4802,6880,2598,5603,5785,5991,2430,3213,4166,4879,2782,5104,2088,4930,2782,4268,828,1061,2077,5809
