source_id,source_label,target_id,target_label,weight
0,10020,1,10028,4.725312465e-05
0,10020,2,10100,4.600096509e-05
0,10020,3,10126,7.583206025e-05
0,10020,4,10181,4.931569492e-05
0,10020,5,10201,4.600096509e-05
0,10020,6,10215,5.236113793e-05
0,10020,7,10237,4.600096509e-05
0,10020,8,10320,4.600096509e-05
0,10020,9,10456,8.005720156e-05
0,10020,10,10462,0.0001191856136
0,10020,11,10637,4.600096509e-05
0,10020,12,10639,4.600096509e-05
0,10020,13,10664,5.679158494e-05
0,10020,14,10682,4.600096509e-05
0,10020,15,10711,4.600096509e-05
0,10020,16,10764,4.600096509e-05
0,10020,17,10820,4.600096509e-05
0,10020,18,10862,9.030806541e-05
0,10020,19,10906,0.0001298972202
0,10020,20,10951,4.600096509e-05
0,10020,21,11010,4.600096509e-05
0,10020,22,11130,4.600096509e-05
0,10020,23,11269,4.600096509e-05
0,10020,24,11273,4.600096509e-05
0,10020,25,11276,4.600096509e-05
0,10020,26,11303,4.794167035e-05
0,10020,27,11307,4.600096509e-05
0,10020,28,11424,4.600096509e-05
0,10020,29,11512,4.600096509e-05
0,10020,30,11550,4.600096509e-05
0,10020,31,11574,4.600096509e-05
0,10020,32,11598,4.600096509e-05
0,10020,33,11612,4.600096509e-05
0,10020,34,11652,4.600096509e-05
0,10020,35,11689,0.0001517828496
0,10020,36,11901,5.186509225e-05
0,10020,37,11902,4.600096509e-05
0,10020,38,11975,4.600096509e-05
0,10020,39,12026,0.0136456145
0,10020,40,12031,4.600096509e-05
0,10020,41,12072,0.0001649371552
0,10020,42,12128,4.600096509e-05
0,10020,43,12131,4.600096509e-05
0,10020,44,12157,4.600096509e-05
0,10020,45,12260,7.555241609e-05
0,10020,46,12262,4.600096509e-05
0,10020,47,12380,6.927693175e-05
0,10020,48,12535,4.600096509e-05
0,10020,49,12611,4.600096509e-05
0,10020,50,12676,0.0003684756521
0,10020,51,12761,4.600096509e-05
0,10020,52,12805,0.0002661132312
0,10020,53,12814,4.600096509e-05
0,10020,54,13018,4.600096509e-05
0,10020,55,13062,5.21359616e-05
0,10020,56,13083,4.600096509e-05
0,10020,57,13398,0.305793494
0,10020,58,13514,4.600096509e-05
0,10020,59,13559,4.600096509e-05
0,10020,60,13567,4.600096509e-05
0,10020,61,13623,5.935133595e-05
0,10020,62,13629,0.000323651795
0,10020,63,13650,5.303896614e-05
0,10020,64,13674,4.600096509e-05
0,10020,65,13702,0.6657572389
0,10020,66,13734,4.600096509e-05
0,10020,67,13851,5.378847709e-05
0,10020,68,13898,4.600096509e-05
0,10020,69,13904,4.600096509e-05
0,10020,70,13935,0.009989373386
0,10020,71,14064,7.515623292e-05
0,10020,72,14175,4.600096509e-05
0,10020,73,14335,4.600096509e-05
0,10020,74,14351,4.600096509e-05
0,10020,75,14381,4.600096509e-05
0,10020,76,14413,4.600096509e-05
1,10028,0,10020,0.0004104292602
1,10028,2,10100,0.0004104292602
1,10028,3,10126,0.0004104292602
1,10028,4,10181,0.0004104292602
1,10028,5,10201,0.0004104292602
1,10028,6,10215,0.0004104292602
1,10028,7,10237,0.0004330969823
1,10028,8,10320,0.0004104292602
1,10028,9,10456,0.0008239867748
1,10028,10,10462,0.000463900069
1,10028,11,10637,0.0004104292602
1,10028,12,10639,0.0004104292602
1,10028,13,10664,0.001180191175
1,10028,14,10682,0.0004104292602
1,10028,15,10711,0.0004104292602
1,10028,16,10764,0.001536504366
1,10028,17,10820,0.0004104292602
1,10028,18,10862,0.0005330764106
1,10028,19,10906,0.0004104292602
1,10028,20,10951,0.0004104292602
1,10028,21,11010,0.0004758042051
1,10028,22,11130,0.0004104292602
1,10028,23,11269,0.0004104292602
1,10028,24,11273,0.000540313893
1,10028,25,11276,0.5009774566
1,10028,26,11303,0.0004104292602
1,10028,27,11307,0.03721510991
1,10028,28,11424,0.0004104292602
1,10028,29,11512,0.0004104292602
1,10028,30,11550,0.0004104292602
1,10028,31,11574,0.0004104292602
1,10028,32,11598,0.0004104292602
1,10028,33,11612,0.0004104292602
1,10028,34,11652,0.0004210361221
1,10028,35,11689,0.001838153694
1,10028,36,11901,0.0004613895726
1,10028,37,11902,0.0009996647714
1,10028,38,11975,0.0004104292602
1,10028,39,12026,0.0004104292602
1,10028,40,12031,0.0005034461501
1,10028,41,12072,0.0004104292602
1,10028,42,12128,0.0007074234891
1,10028,43,12131,0.0004104292602
1,10028,44,12157,0.0004104292602
1,10028,45,12260,0.0005761985085
1,10028,46,12262,0.0008693159325
1,10028,47,12380,0.003607211402
1,10028,48,12535,0.004021756351
1,10028,49,12611,0.0004104292602
1,10028,50,12676,0.0005172870005
1,10028,51,12761,0.0004584438866
1,10028,52,12805,0.0004104292602
1,10028,53,12814,0.001439064858
1,10028,54,13018,0.0004202049749
1,10028,55,13062,0.0004104292602
1,10028,56,13083,0.0004104292602
1,10028,57,13398,0.0004104292602
1,10028,58,13514,0.413854301
1,10028,59,13559,0.0004378275189
1,10028,60,13567,0.0004104292602
1,10028,61,13623,0.0004104292602
1,10028,62,13629,0.0004104292602
1,10028,63,13650,0.0004696531396
1,10028,64,13674,0.0004104292602
1,10028,65,13702,0.0004104292602
1,10028,66,13734,0.0005152295344
1,10028,67,13851,0.0004104292602
1,10028,68,13898,0.002204590011
1,10028,69,13904,0.0004104292602
1,10028,70,13935,0.0004104292602
1,10028,71,14064,0.0004104292602
1,10028,72,14175,0.0004104292602
1,10028,73,14335,0.0004104292602
1,10028,74,14351,0.00210678135
1,10028,75,14381,0.0005119222333
1,10028,76,14413,0.0004104292602
2,10100,0,10020,7.401545736e-05
2,10100,1,10028,7.401545736e-05
2,10100,3,10126,7.401545736e-05
2,10100,4,10181,7.401545736e-05
2,10100,5,10201,7.401545736e-05
2,10100,6,10215,7.401545736e-05
2,10100,7,10237,7.459120388e-05
2,10100,8,10320,7.401545736e-05
2,10100,9,10456,0.0003602448269
2,10100,10,10462,7.401545736e-05
2,10100,11,10637,7.401545736e-05
2,10100,12,10639,7.401545736e-05
2,10100,13,10664,0.000253865961
2,10100,14,10682,7.401545736e-05
2,10100,15,10711,7.401545736e-05
2,10100,16,10764,0.0003338338865
2,10100,17,10820,7.401545736e-05
2,10100,18,10862,0.0001004851074
2,10100,19,10906,7.401545736e-05
2,10100,20,10951,7.401545736e-05
2,10100,21,11010,8.240721218e-05
2,10100,22,11130,7.401545736e-05
2,10100,23,11269,7.401545736e-05
2,10100,24,11273,0.0001351821556
2,10100,25,11276,0.5685433745
2,10100,26,11303,7.401545736e-05
2,10100,27,11307,0.02442676947
2,10100,28,11424,7.401545736e-05
2,10100,29,11512,7.401545736e-05
2,10100,30,11550,7.401545736e-05
2,10100,31,11574,7.401545736e-05
2,10100,32,11598,7.401545736e-05
2,10100,33,11612,7.401545736e-05
2,10100,34,11652,7.401545736e-05
2,10100,35,11689,0.0002551826765
