pub_year,10080,10138,10246,10249,10273,10317,10400,10575,10579,10714,10715,10742,10772,10796,10829,11158,11181,11187,11321,11347,11478,11498,11504,11596,11896,12127,12203,12216,12288,12564,12801,12879,13345,13553,13693,13745,13748,13807,13836,13924,13983,14353,14455
2002,930,9314,2309,778,264,6729,2056,18740,44,2691,10573,4091,9398,2746,10747,3297,7078,4302,2509,1343,2379,211,719,2017,1267,3425,7920,1078,2607,6629,1466,765,2,253,19,2121,180,2063,1442,1459,325,703,65
2003,1319,5959,2757,586,287,5333,2385,11478,40,1987,8391,3594,5312,2613,5991,3019,4693,3937,1685,910,2400,318,700,1452,1579,2508,6508,859,1949,5156,1421,573,2,155,16,2231,210,2048,1578,1692,334,611,35
2004,2170,5389,3851,863,390,5054,3275,9099,30,2067,8459,4435,4202,3162,4333,3467,4035,3952,1755,841,3060,512,925,1409,2218,2700,6375,810,1949,4773,1499,583,2,133,27,2649,198,2472,2017,2015,412,634,37
2005,3666,5774,5654,877,555,5495,3999,11299,106,2325,10394,4865,4601,4714,5322,4599,4886,4393,2306,1175,3368,899,1150,1497,3040,3194,6939,962,2021,5546,1629,920,2,140,31,3324,233,2804,2133,2236,393,758,40
2006,5598,5886,7582,1391,653,5400,4914,11601,255,2352,11166,5678,4802,6331,5199,5690,5019,4396,2609,1633,4023,1490,1385,1522,4066,3403,7411,1211,2324,5846,1966,1132,8,180,32,3374,299,3138,2325,3145,403,767,48
2007,6831,4856,7694,1572,747,5561,5121,10353,659,1991,10548,5958,4394,6611,4910,5259,4915,4410,2254,1629,4326,1719,1424,1494,4212,3613,7019,1213,2426,5602,1921,1286,9,195,30,3674,291,3529,2781,3345,442,810,49
2008,7910,5041,8747,1884,856,5570,5945,10276,1180,2151,11053,6251,4477,8275,4989,5744,5245,4689,2489,2275,4859,2094,1780,1433,4664,3882,7016,1302,2437,5840,1893,1482,9,228,52,4151,308,3813,2949,3744,607,932,45
2009,8875,5029,9142,2270,1028,5495,6683,9913,1824,2349,10887,6394,4368,8964,5445,5562,5413,4763,2472,2513,5550,2193,1789,1429,5238,4028,7204,1338,2705,5914,2111,1811,8,236,53,4217,343,4386,3399,3991,765,984,60
2010,9811,4748,9537,2578,1538,5815,6820,9607,2564,2526,11670,6111,4621,10178,5310,5511,6257,4740,2578,2675,5907,2495,1899,1463,5784,4617,7022,1431,2779,6246,2168,1986,12,302,73,5279,374,4882,3799,4282,805,1153,79
2011,9468,4195,9138,2908,2334,5304,6735,9068,2782,2729,11255,5537,4532,10537,5293,5159,6402,5011,2432,2811,6208,2466,1797,1439,6053,4695,6090,1547,2758,6248,2176,2117,11,321,90,5965,400,5232,4219,4206,997,1196,85
2012,10116,3878,9447,3177,3396,5225,7275,8751,3151,2945,11120,5162,4580,11119,5221,5055,6857,4886,2530,2909,6766,2696,1908,1309,6442,4909,5381,1537,2697,5940,2268,2280,19,360,103,6180,403,5794,4459,3965,1210,1195,88
2013,10028,3494,9029,3458,4458,4988,7714,7870,3191,3361,10588,4546,4213,10846,5067,4752,6931,4946,2339,3059,7309,2890,1869,1408,6560,4975,4604,1508,2770,6125,2333,2318,15,418,116,5935,459,6113,4699,3873,1237,1181,71
2014,10438,3304,9133,3693,5662,4859,8192,7279,3323,4152,10297,3989,4396,11180,4990,4418,7222,4966,2411,3215,7704,3127,1811,1240,6981,4960,3803,1554,2743,5963,2407,2390,18,464,161,6089,494,6707,5148,3954,1446,1161,81
2015,9443,2983,7537,3572,6698,4511,8034,6207,2819,4448,9861,3350,4120,9843,4730,3882,7195,4866,2092,3033,7474,2711,1700,1193,6247,5032,3191,1434,2653,5374,2303,2135,23,451,239,6640,462,7348,5400,3753,1432,1120,86
2016,8947,2766,6552,3858,7888,4321,8755,5326,2542,5007,9100,2811,3938,9253,4406,3552,6852,4669,1976,3137,7275,2503,1647,1144,5826,5014,2511,1338,2681,5442,2404,2128,17,527,294,6147,478,7029,5279,3290,1509,1181,52
2017,8097,2451,5554,4188,9509,3744,9173,4572,2210,5218,8686,2427,3765,8258,3994,3138,6407,4631,1880,3373,7168,2237,1605,1067,5307,5005,2141,1289,2601,5240,2307,1961,42,572,391,5422,476,7817,5158,2352,1543,1099,45
2018,7980,2312,5021,4771,12225,3483,10472,3984,1968,5736,7655,2085,3523,7393,3702,2564,5990,4638,1868,3546,7052,2258,1568,1001,5164,5056,2085,1316,2672,5361,2388,1957,70,854,525,5365,471,6915,5327,1952,1892,1027,31
2019,7524,2294,4269,5384,14222,3115,11716,3552,1763,5917,7107,1859,3425,6654,3499,2460,5836,4694,1984,3701,6878,2093,1534,933,4754,5265,1856,1338,2884,5037,2228,1898,99,1276,728,5050,530,6741,5420,1746,2254,908,43
2020,6162,1785,3252,5570,14686,2559,12243,2794,1471,5470,5801,1472,2960,5191,2977,1927,4852,4566,1672,3762,5922,1853,1562,839,3922,4845,1539,1228,2701,4190,1977,1720,96,1637,996,4525,486,6075,5732,1567,2375,691,27
2021,5621,1459,2898,5707,15999,2157,12963,2181,1272,5203,4796,1238,2764,4349,2811,1623,4483,4579,1732,3648,5679,1758,1490,931,3626,4717,1142,1149,2757,3468,1763,1701,291,1843,1497,3394,491,4773,3883,1191,2202,453,22
2022,4932,1283,2345,6133,16010,1502,13511,1757,1051,4999,3629,1017,2294,3870,2466,1386,3850,4230,1584,3824,5289,1602,1371,578,3207,4555,874,1059,2476,2796,1394,1565,773,2111,1471,1546,428,2998,3124,808,1934,346,10
2023,4736,1306,2168,6801,16522,1455,15993,1814,951,5491,3794,1030,2395,3600,2379,1351,4063,4333,1584,3777,5335,1536,1308,555,3137,4880,979,1200,2423,3052,1317,1538,569,2373,1659,1404,447,3173,3392,844,2010,341,12
2024,5548,1137,1822,5813,14507,2031,19588,3130,807,4476,6402,1225,2499,3165,2835,1006,4479,3977,1281,2837,4545,1669,1360,693,2671,4837,1607,1289,2800,5003,1370,1480,260,1584,1790,1969,425,2867,5334,1149,1689,512,29
