pub_year,1200,1202,1203,1204,1205,1206,1207,1208,1209,1210,1211,1212,1213,1402,1403,1404,1405,1406,1407,1408,1409,1410,1800,1802,1803,1804,2000,2002,2003,3200,3202,3203,3204,3205,3206,3207,3300,3302,3303,3304,3305,3306,3307,3308,3309,3310,3311,3312,3313,3314,3315,3316,3317,3318,3319,3320,3321,3322
1990,1942,26810,14499,19326,6265,4525,8196,21177,3754,3784,15081,7068,6009,8589,231,5259,3475,4285,6834,12146,691,658,658,3230,9724,6410,7895,37835,7641,1296,2445,21652,9295,9890,1150,18927,5104,659,3489,34136,5638,4054,276,12342,1413,3883,7889,69721,3457,17337,3418,9854,9541,6994,443,48762,2969,5720
1991,2084,26424,14794,19732,6385,4601,7761,21408,3816,3683,15278,7454,6198,8945,179,5803,3651,4582,7036,12496,697,641,666,3364,10072,6896,8325,39193,8116,1266,2454,21509,9454,9591,1189,19106,4892,620,3465,34871,5625,4425,273,13068,1381,3985,7283,72311,3691,17788,3635,10337,9374,7628,405,50683,3106,5845
1992,2215,28164,15812,21254,6907,4925,7986,23326,4080,3890,16332,7806,6818,9689,193,6227,4111,4914,7297,13942,821,803,703,3772,10848,6917,8684,41466,8565,1358,2578,22440,9854,10097,1125,20246,5726,727,3799,37323,6093,4674,328,14740,1428,4746,9276,76096,4207,18552,3803,11712,9817,7988,581,53945,3099,6357
1993,2410,30449,16817,21779,7218,5363,8542,25241,4418,4391,17325,8624,7180,10892,209,7147,4445,5563,8061,15549,809,827,705,3960,11543,7222,9268,44637,9133,1202,2614,23443,10203,10568,1290,21309,6618,751,4036,41423,6477,4844,391,15939,1592,4957,10531,81653,4824,19307,4215,12303,10323,8852,533,57472,3444,6982
1994,2571,32392,18568,24134,7545,5763,8853,26122,4604,4287,18478,8914,7547,11770,241,7820,4938,5875,9146,16880,905,825,721,4385,12203,7336,9700,47742,9862,1262,2610,24913,10493,11205,1219,22248,7129,728,4290,44354,7008,5356,434,17557,1590,5570,11712,87884,4868,20711,4598,13462,11161,9735,626,61477,3678,7649
1995,2758,34244,18868,25388,8228,5898,8936,26660,5166,4295,19094,9278,8103,13241,281,8116,5099,6447,9898,18271,993,980,768,4495,12794,7634,10146,51228,10821,1296,2704,26076,10927,11493,1260,23792,8107,716,4570,47953,7331,5653,484,18912,1669,5819,12428,93462,5464,20805,5041,14277,11809,10337,665,65550,3725,8061
1996,3141,36619,20925,26404,8435,6543,9508,29907,5710,4262,20423,9617,8606,14278,348,8851,5839,7039,10755,19697,1058,1076,892,5007,13988,8237,11040,54429,11863,1300,3045,28467,12166,12654,1444,25600,9259,743,4803,53310,8141,6124,575,20765,1639,6188,13317,99847,6027,21883,5879,15573,12303,10877,817,68948,3997,8609
1997,3582,38256,21943,28112,9025,6467,9738,31239,6014,4562,21533,10367,9204,15699,384,9260,6050,7808,11629,21599,1070,1387,880,5390,14379,7883,11463,58127,12845,1311,3104,29768,12510,13225,1559,26593,9516,793,5123,57307,8435,6635,546,22223,1783,6579,13932,106754,6273,22640,6328,16534,13404,11229,958,73892,4294,9358
1998,3836,40682,23461,28782,9394,7193,9768,33452,6329,4608,23044,10451,10059,17183,401,9395,6598,8500,12268,24695,1272,1463,878,5809,15222,8076,12515,63125,14933,1343,3212,31466,13531,14005,1567,28800,10870,828,5561,61974,9256,7367,620,25528,1799,7246,14891,113327,7030,23788,7102,17607,13850,12016,1163,78343,4601,9917
1999,4142,43779,24519,30733,10050,9141,10472,34981,6847,4995,24000,11373,10422,19123,464,10589,7709,9462,13830,27108,1352,1683,958,6465,16473,8487,13034,67234,16223,1340,3518,32963,13986,14765,1747,30160,11877,837,6106,67514,9878,7964,694,27274,1876,7655,16498,123116,7018,25118,7671,19527,15650,12929,1182,84193,4791,10868
2000,4615,47018,27465,33129,10605,8718,12212,38616,7461,5356,26974,12154,11717,21687,730,12145,9427,11634,16085,32868,1573,2186,1147,7788,18809,8850,14737,78535,18050,1478,3789,35802,15586,16888,1814,34458,13113,918,6863,78186,11396,8839,890,31015,2163,8526,18686,141970,8427,27113,9270,22602,18179,14632,1166,93574,5314,13017
2001,5204,48336,31369,34738,11089,8520,12299,42540,7937,5778,28887,12424,12322,24450,894,13046,10558,13011,18196,36576,1836,2443,1340,9227,19775,9248,16733,87258,20132,1453,4040,38761,16724,18056,1898,36412,13696,1005,7148,86057,11925,9472,1035,33845,2477,9001,19313,156763,8794,28730,10163,24119,19887,15730,1345,101308,5853,14249
2002,5615,51198,34888,36673,11913,9203,13803,44913,8987,6197,31162,13242,14021,27381,1155,20856,13836,15524,21099,43238,2055,2894,1435,12033,27981,12365,18214,97626,22540,1970,4519,42464,18902,20719,1976,40928,14658,981,8190,95950,13174,10132,1219,36485,2677,9962,21872,179428,10020,30083,12012,27519,22712,17048,1569,110753,6118,16487
2003,5766,53293,36597,38227,12354,9488,13597,47682,9721,6629,33521,14487,14956,32155,1412,19834,14715,17318,23876,48151,2251,2926,1688,12984,27506,11959,20945,108778,25936,1424,4725,45058,19927,21734,2065,44028,16056,1020,8885,103670,13908,11054,1424,40286,2700,10683,23455,194250,10736,30427,13237,30287,24763,18447,2011,121544,6663,17804
2004,6711,56202,39288,41149,13045,10292,14586,51232,10565,7581,36197,15617,16359,35165,1625,21198,16276,19719,26229,52915,2533,3680,1759,14491,28479,12475,21981,117727,27051,1546,5050,49908,21805,23706,2217,46725,16782,1162,9468,112590,15129,11810,1599,46160,2842,11274,25102,214209,11801,33057,14702,33557,27869,20349,1980,132525,7222,20286
2005,7489,59629,42145,43251,13495,10623,16054,56541,11763,8473,40838,16815,18678,39927,2000,24372,18272,21885,29908,60527,2783,4152,2039,16961,32708,13528,24957,127466,29697,1650,5486,53962,24393,26736,2377,51204,18367,1161,10375,127242,16687,13281,1734,51729,3076,12396,26225,237773,13799,35327,17367,35982,31328,22171,1939,145274,8397,23840
2006,7758,63478,46822,46254,14188,11334,16905,61324,12969,9241,44755,18016,20502,43237,2425,27021,21174,24471,32945,67257,3100,4360,2277,19555,35965,14990,26209,138608,31813,1660,6336,60533,27075,29799,2626,58153,19736,1294,11585,142114,18024,14693,1986,56853,3591,14164,28913,263121,15228,37897,19450,39874,35423,23840,2304,157697,8087,26715
2007,8766,68352,50846,49154,15152,12068,18662,67776,14203,10319,50165,20139,22795,46591,2676,28558,22760,27434,36359,73244,3317,4408,2697,21569,39238,15299,28643,150735,34519,1798,6888,64541,29932,32349,2622,62622,21365,1431,12569,158267,19543,16078,2373,60002,4096,15509,31168,290105,17059,41914,22091,43303,39320,26434,2376,169320,8768,29544
2008,8825,72858,54872,53402,15573,13390,20288,72132,16064,11017,53957,21315,25236,51877,3144,32174,25213,30156,40669,81939,3578,4685,2824,24996,42984,17176,31987,164059,38448,1768,7781,70908,33308,35449,2633,68970,22876,1577,13598,177006,21704,18607,2806,66381,4624,17030,33824,322983,18274,44763,25906,49043,44668,29192,2484,185006,9421,33909
2009,8916,77278,59220,57075,16454,14268,21959,79447,17217,12438,58516,23265,27189,58081,3648,34813,28206,34042,44864,89290,4053,5220,3089,27339,46683,18154,36769,180988,44499,1895,8229,76247,36773,38559,2996,75546,24945,1671,15275,200281,23556,20173,3081,71024,5603,18479,37055,349699,21550,48204,29290,52144,49984,31304,3082,200120,9575,37898
2010,9523,80692,65184,59561,17113,14986,22122,85804,20152,13285,63851,25181,30174,62751,4251,38195,31496,37509,49543,96047,4509,5318,3204,30456,50596,19652,39329,191750,47712,1973,9440,83842,40904,42759,3196,85135,26425,1770,17106,222232,24935,22553,3374,77643,6362,20150,39263,377451,24869,51655,33085,57654,56703,34473,3222,215745,10076,40549
2011,9671,83027,70229,60359,17207,15714,23715,92150,22027,14613,67235,26560,32133,70916,5222,41160,35274,41987,55898,106415,4847,5534,3521,34366,55000,21215,43797,211437,52276,2008,10677,89358,44566,46505,3429,91748,29212,1901,18998,247857,26309,25097,3808,84155,6985,21862,42182,408579,27593,53283,37049,61678,61953,37844,3283,237562,10612,44786
2012,10459,88976,72231,64207,18257,17937,25640,97719,23767,16616,72201,27658,34434,74281,5908,41712,37384,44637,56995,111231,4628,5630,3523,38005,56867,21930,45951,220930,55275,2069,11358,96829,48419,47985,3620,97672,30469,2267,19876,268444,29012,27746,4292,86783,7667,23305,43871,433910,29977,57080,39613,65528,67428,40404,3427,248656,11058,49258
2013,9625,91294,74739,65406,18805,18159,26192,100900,23594,15915,76545,30625,35504,77904,6529,44055,38845,46297,60446,116541,5061,5307,3515,41185,59829,23323,48607,227081,56258,2239,12425,103907,52831,52085,3855,104208,31884,2225,21726,290504,30581,30597,5439,94070,7946,23556,45415,460705,31927,59643,41959,69441,71875,42774,3656,260505,11086,52065
2014,10096,94725,77777,69281,19985,18642,27977,105349,26347,16207,78469,30741,37737,84286,6895,46684,40674,49891,63481,122359,5222,5430,3655,44829,62246,24123,50980,235087,56928,2096,14144,109967,56674,53432,4156,110094,33005,2287,23117,308362,32258,33085,6104,104294,7469,24546,48141,491335,35214,62466,44272,75237,77419,46098,3760,284835,12048,55453
2015,10267,95911,82310,71748,20989,19966,28293,108479,28850,17010,82899,32389,40300,87374,7229,48230,41423,52620,64895,124742,5040,5402,3775,46824,61216,23869,50293,237010,57116,2138,15079,115382,59944,55808,4643,114786,34345,2468,24210,329365,34445,34966,7388,108203,7827,26055,48117,515092,34921,65387,45528,77780,82949,47829,4238,290620,11693,57913
2016,10883,97143,80297,71608,20565,20168,29348,114313,30630,18021,87722,33583,41113,89893,7058,47655,40353,53543,63318,123237,4828,5717,3479,48259,58851,23567,48858,235041,54799,2199,15223,118959,59117,55477,4566,115193,33783,2869,22945,337683,37140,36075,8512,118165,8740,26030,47238,530380,33354,67306,44030,79480,86224,50233,4024,301096,11786,59405
2017,10794,91196,78472,68271,18935,20947,27929,109688,30287,16342,85182,34034,38860,90207,7317,50517,40511,53332,63110,121153,4511,5816,3400,48681,58340,23603,46540,229183,51643,1873,15146,119753,58611,54262,4815,114579,32255,2574,22125,345255,36936,35977,9886,113789,8084,25269,45878,527478,31240,61494,41960,78152,89674,49198,4325,282345,11176,58905
2018,9974,91009,79856,68327,19042,21401,28642,109881,31721,15305,85321,36948,38972,89676,8489,53020,42812,55615,65508,123450,4382,5350,3386,50515,60779,24252,49508,230559,50022,1847,15718,118635,61993,55860,4640,117069,32831,2707,23323,360381,38132,38138,11142,112571,8476,24960,46899,541695,32511,61124,44689,82107,97338,50904,4303,282373,10015,57921
2019,9472,84807,82658,68716,17746,21166,29402,107883,31792,14794,82816,33374,38519,92635,9401,57191,46965,58493,68021,130499,4518,4801,3396,49663,64189,25139,55404,238020,49332,1843,16493,123630,67583,58914,4802,123323,31060,2894,26138,386854,40248,41282,13018,114613,6966,25446,46934,555411,32907,60775,46523,84972,107427,53248,4379,285410,9941,58178
2020,7805,76725,81158,61288,15994,18993,26409,102952,30559,14183,82100,34082,35586,92581,11069,56011,49422,61398,72992,133217,4346,3947,3207,47683,65488,24610,60692,268498,50957,1711,18746,147295,71254,60909,4695,129944,30540,2578,27934,413869,40155,49897,14450,120122,7245,24754,48752,573546,35197,55621,51893,84962,112805,55164,4250,286398,9231,57176
2021,4793,63653,71782,50076,14121,15951,24540,89459,26166,11988,71919,29433,29357,82948,11536,51559,47608,57567,67238,122023,3972,2024,3290,41210,62385,23546,56132,249132,45181,1441,20035,153475,67180,60408,4228,124858,24412,2406,24054,379469,35976,56228,14669,106566,4129,20399,41785,529423,33972,49014,47817,75204,113560,51366,3329,250653,8023,46883
2022,2515,43444,58552,37132,10101,10662,18214,65500,19134,9226,55369,23816,22410,69072,11261,45073,38997,53866,58206,106985,2812,539,2778,33901,56256,21768,46885,213013,37373,1202,18543,129752,58777,55035,3410,109936,13910,2054,18881,330670,30262,49678,14987,77576,2106,16284,33628,436852,30433,37719,37491,60724,104810,43663,1871,188772,6527,35308
2023,2500,44052,60742,38051,9907,12652,18046,69010,19130,10037,56292,24605,22747,78591,12581,53922,43017,61643,64438,119765,2975,532,2717,38045,59522,21796,48138,224281,39036,1150,18479,126145,61773,57293,3715,111683,15401,2190,19163,367566,32166,47828,18622,87522,2005,16610,35388,457672,29790,37599,37652,63661,115682,45856,2089,201415,6554,35765
2024,2620,42624,61065,37716,8453,13193,16376,67323,19776,9861,50764,22849,22154,83837,16071,63048,47358,61921,65009,125115,3337,623,2386,43994,63376,22624,45613,212838,39926,1232,19295,129351,62083,57917,4194,117899,17311,2113,20345,350203,28256,43424,18424,81359,1992,16717,40994,451687,27529,36479,35556,59859,103210,45609,2843,196965,6577,37194
