0.000024,0.118118,0.009097,0.025166,0.045867,0.172749,0.016499,0.002244,0.009980,0.458737,0.106347,0.000143,0.000430,0.000096,0.002125,0.000143,0.000860,0.000000,0.000000,0.000191,0.009479,0.013371,0.000143,0.001600,0.000000,0.000883,0.000573,0.000119,0.000048,0.000000,0.000000,0.000000,0.000048,0.000334,0.000000,0.000096,0.000000,0.000048,0.000645,0.000048,0.003749,0.000000
0.083792,0.000017,0.051220,0.004370,0.045309,0.060130,0.017819,0.000407,0.003608,0.543556,0.070174,0.000000,0.000457,0.000051,0.001863,0.002185,0.002473,0.000220,0.000017,0.001795,0.056996,0.021477,0.000102,0.002778,0.000000,0.000017,0.015464,0.009096,0.001728,0.001745,0.000068,0.000000,0.000034,0.000068,0.000000,0.000220,0.000152,0.000017,0.000000,0.000000,0.000559,0.000017
0.011693,0.092805,0.000031,0.031211,0.020961,0.151882,0.007949,0.000246,0.039068,0.078995,0.001258,0.000368,0.000737,0.002026,0.014424,0.001811,0.012337,0.000890,0.000890,0.001350,0.345823,0.104007,0.000890,0.001534,0.000000,0.000153,0.026700,0.012368,0.017340,0.002026,0.001074,0.000000,0.003621,0.000399,0.000061,0.001565,0.000184,0.002731,0.000000,0.000215,0.007580,0.000798
0.057462,0.014066,0.055445,0.000055,0.010904,0.159521,0.003489,0.000000,0.018700,0.085321,0.020663,0.000927,0.002235,0.000109,0.017828,0.005343,0.004361,0.000436,0.000218,0.002453,0.033474,0.126483,0.002072,0.057844,0.000000,0.000436,0.299383,0.002017,0.002017,0.000055,0.000164,0.000000,0.006869,0.000000,0.000109,0.001963,0.000872,0.000273,0.000327,0.000709,0.003162,0.002235
0.021271,0.029620,0.007563,0.002215,0.000011,0.015989,0.015746,0.002204,0.085594,0.589636,0.024903,0.000288,0.000543,0.000188,0.001428,0.001993,0.018890,0.000078,0.010564,0.001096,0.082626,0.051124,0.000066,0.000664,0.000033,0.000000,0.005094,0.001473,0.014273,0.001639,0.000100,0.000000,0.008194,0.000864,0.000000,0.000819,0.000155,0.000764,0.000033,0.000133,0.002082,0.000044
0.066755,0.032755,0.045663,0.026997,0.013323,0.000009,0.012484,0.001467,0.027172,0.515759,0.013203,0.000074,0.002888,0.000987,0.034065,0.002869,0.009633,0.001393,0.000111,0.010297,0.014587,0.108127,0.010140,0.003026,0.000000,0.001412,0.003801,0.005711,0.000452,0.000120,0.000018,0.000388,0.000388,0.000572,0.000018,0.000138,0.000766,0.004170,0.000646,0.007354,0.019441,0.000821
0.040994,0.062410,0.015365,0.003797,0.084361,0.080267,0.000059,0.010501,0.014535,0.568409,0.069114,0.000059,0.002848,0.000000,0.001898,0.000178,0.003382,0.000059,0.000000,0.000475,0.009255,0.024086,0.000000,0.000178,0.000000,0.000119,0.000059,0.000119,0.000059,0.000119,0.000000,0.000000,0.000119,0.000000,0.000000,0.000000,0.000000,0.000119,0.000000,0.000059,0.007000,0.000000
0.026807,0.006844,0.002281,0.000000,0.056752,0.045344,0.050478,0.000285,0.037074,0.643234,0.005989,0.000000,0.014259,0.000000,0.002281,0.000285,0.012548,0.000000,0.000000,0.005704,0.030515,0.056467,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002852,0.000000
0.006419,0.003271,0.019548,0.005267,0.118702,0.045223,0.003762,0.001996,0.000015,0.577005,0.005544,0.000845,0.000138,0.002242,0.003163,0.001428,0.006434,0.000322,0.000031,0.003778,0.072280,0.073540,0.000691,0.000169,0.000031,0.000092,0.008953,0.002580,0.012208,0.000814,0.000107,0.000031,0.012300,0.000246,0.000015,0.000230,0.000107,0.001919,0.000031,0.005344,0.002611,0.000568
0.047768,0.049975,0.013619,0.008281,0.073616,0.119463,0.016725,0.003942,0.054684,0.000005,0.058033,0.000603,0.004053,0.000931,0.013709,0.005053,0.048245,0.000667,0.000164,0.008910,0.029191,0.396292,0.002392,0.004466,0.000021,0.001529,0.004434,0.001767,0.001466,0.001418,0.000026,0.000159,0.003249,0.000751,0.000132,0.001074,0.000868,0.001095,0.001280,0.001032,0.017794,0.001116
0.126522,0.117688,0.001165,0.010766,0.063886,0.040650,0.033094,0.000597,0.010255,0.562569,0.000028,0.000000,0.000114,0.000057,0.000824,0.000000,0.002670,0.000028,0.000028,0.000256,0.002301,0.022924,0.000028,0.001591,0.000000,0.000028,0.000170,0.000057,0.000597,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000966,0.000142
0.001733,0.000000,0.003465,0.004909,0.007508,0.002310,0.000289,0.000000,0.015883,0.032920,0.000000,0.000289,0.007797,0.007508,0.002021,0.004332,0.044760,0.000289,0.000000,0.000578,0.057177,0.534786,0.000000,0.000578,0.000578,0.000000,0.013284,0.000000,0.004043,0.000000,0.006931,0.019059,0.060642,0.007508,0.003177,0.140921,0.010107,0.003177,0.000000,0.000289,0.000866,0.000289
0.001223,0.001835,0.001631,0.002786,0.003330,0.021272,0.003262,0.003398,0.000612,0.052059,0.000272,0.001835,0.000068,0.003330,0.014408,0.035272,0.023039,0.044311,0.000000,0.000476,0.017466,0.654212,0.000748,0.004485,0.000000,0.000340,0.014748,0.000272,0.000136,0.000136,0.000544,0.007680,0.013864,0.000883,0.001291,0.008563,0.007951,0.000340,0.000000,0.004146,0.044107,0.003670
0.000487,0.000365,0.008040,0.000244,0.002071,0.013034,0.000000,0.000000,0.017785,0.021439,0.000244,0.003167,0.005969,0.000122,0.020586,0.010598,0.050187,0.014374,0.000244,0.001584,0.009014,0.612877,0.000975,0.016201,0.048116,0.000000,0.013521,0.000853,0.000244,0.001218,0.000365,0.000244,0.053354,0.025946,0.001218,0.005238,0.023632,0.002436,0.000000,0.012303,0.000975,0.000731
0.003215,0.003974,0.016979,0.011813,0.004660,0.133373,0.001156,0.000289,0.007442,0.093600,0.001048,0.000253,0.007658,0.006105,0.000036,0.031718,0.010693,0.002095,0.000000,0.009031,0.030923,0.531894,0.002167,0.008020,0.000108,0.004479,0.043530,0.005888,0.000361,0.002709,0.000108,0.000325,0.001662,0.000325,0.000325,0.000036,0.002493,0.001048,0.000108,0.002384,0.013258,0.002709
0.000122,0.002619,0.001198,0.001990,0.003655,0.006314,0.000061,0.000020,0.001888,0.019389,0.000000,0.000305,0.010537,0.001766,0.017826,0.000020,0.016161,0.003797,0.000000,0.002193,0.061477,0.749867,0.000893,0.000975,0.000061,0.001502,0.067122,0.002883,0.000629,0.000284,0.000081,0.000345,0.003472,0.000102,0.002985,0.001076,0.007329,0.001198,0.000000,0.001178,0.005462,0.001218
0.000800,0.003243,0.008929,0.001777,0.037892,0.023188,0.001266,0.000977,0.009306,0.202518,0.002088,0.003443,0.007529,0.009151,0.006574,0.017680,0.000022,0.005953,0.000289,0.005397,0.042512,0.503877,0.003110,0.007352,0.001244,0.000289,0.027208,0.000866,0.000977,0.000422,0.000622,0.000999,0.027342,0.007041,0.003665,0.003998,0.008329,0.005597,0.000000,0.002266,0.003598,0.000666
