pub_year,10101,10203,10260,10270,10286,10430,10538,10679,10734,11370,11614,11644,11693,11800,11813,11937,12016,12034,12338,12395,12408,12479,12519,12601,12799,12863,12943,13016,13034,13038,13081,13166,13194,13270,13274,13373,13386,13482,13565,13602,13608,13647,13673,13676,13832,13867,13873,13874,13913,13932,13964,13976,13999,14025,14029,14042,14071,14103,14155,14174,14215,14216,14307,14330,14345,14347,14387,14403,14409,14414,14430,14431,14435,14484,14496,14498,14516,14519
1975,143,4,198,2,61,134,109,134,56,68,19,6,38,3,292,104,44,53,56,25,120,4,51,31,18,244,1,62,156,1,5,36,63,11,4,4,137,36,268,198,103,0,33,2,24,100,3,17,1,1,42,16,42,167,32,7,10,23,0,0,84,4,18,253,169,0,37,258,156,19,110,40,2,55,2,62,5,8
1976,140,2,210,9,73,149,87,173,53,81,11,5,39,11,241,93,32,53,41,31,101,24,37,40,26,233,2,80,123,4,5,44,56,18,9,1,109,32,237,201,91,0,35,1,26,96,9,22,3,0,46,12,36,203,27,9,10,12,2,1,123,10,6,261,156,3,42,238,123,17,107,47,3,57,0,64,9,10
1977,138,8,264,10,70,169,118,144,52,72,10,9,36,10,285,104,40,46,38,25,110,5,48,20,21,222,1,47,101,3,3,45,47,14,7,2,124,31,265,206,111,0,34,3,17,97,4,30,4,2,36,18,66,181,23,9,13,16,1,2,128,3,8,270,153,2,31,242,146,21,83,42,2,54,0,86,3,9
1978,156,11,273,6,75,195,132,170,63,59,9,9,58,10,298,103,47,49,37,33,98,2,44,38,38,244,1,45,137,4,6,64,55,11,9,3,147,43,256,210,96,1,45,1,29,99,7,22,2,0,43,17,56,175,48,15,10,22,1,1,95,12,14,261,149,2,42,224,164,15,98,61,3,59,1,72,10,6
1979,152,9,289,8,84,211,123,221,76,79,10,10,50,10,294,106,41,44,38,48,83,5,60,47,28,248,3,35,139,1,6,44,54,14,7,6,118,41,305,214,102,2,29,1,25,87,12,42,4,0,31,24,45,169,30,8,17,20,1,1,119,14,16,287,157,5,43,234,174,18,77,56,2,65,1,101,10,7
1980,146,10,304,8,79,187,143,278,60,87,12,6,42,9,300,108,69,47,45,66,111,6,64,29,31,258,0,64,127,0,6,59,45,12,6,5,127,28,302,225,88,0,40,0,39,96,7,48,1,0,43,26,66,191,20,14,20,15,1,1,163,12,13,297,162,2,60,214,181,21,94,43,4,70,0,153,13,7
1981,155,8,358,17,102,240,149,281,72,76,12,3,50,20,371,123,60,63,48,76,99,5,61,44,33,279,3,46,122,5,2,68,54,21,10,10,112,42,280,250,109,2,47,3,35,92,8,45,9,0,41,22,80,188,19,10,38,10,4,1,195,21,24,330,149,2,42,221,202,24,85,47,1,87,1,150,10,11
1982,210,13,442,12,95,288,169,326,91,111,7,8,56,24,394,124,62,46,56,77,83,8,69,44,30,314,7,51,158,1,2,54,61,9,7,7,141,37,332,260,102,1,26,3,29,93,8,41,6,0,35,25,86,198,22,11,18,9,4,2,135,30,25,323,139,4,50,197,174,19,102,62,3,81,1,155,9,13
1983,221,11,458,20,124,287,220,407,120,152,16,6,74,17,448,124,84,70,64,72,76,10,60,51,51,347,3,60,140,11,6,54,63,24,8,8,109,53,310,249,92,0,36,2,39,113,12,36,15,1,35,15,118,197,27,9,22,8,5,1,159,25,29,365,134,6,52,206,204,17,99,66,3,97,1,147,15,7
1984,278,21,498,9,110,360,209,468,102,160,13,5,75,25,504,136,73,60,74,65,76,2,78,53,57,411,4,60,145,6,4,81,71,30,15,4,126,55,320,277,112,0,26,0,42,114,10,58,2,0,47,20,117,222,39,14,23,21,5,5,196,29,28,395,135,5,54,192,189,17,115,60,4,87,0,154,7,3
