0.000141,0.000000,0.000707,0.000141,0.000000,0.000000,0.000000,0.006925,0.003816,0.000000,0.000000,0.000000,0.000000,0.000000,0.874082,0.000141,0.000000,0.000000,0.000000,0.000000,0.000848,0.000000,0.000707,0.000141,0.000000,0.000000,0.000141,0.000000,0.000141,0.000000,0.000000,0.000000,0.000000,0.004946,0.000000,0.001555,0.000000,0.000000,0.000283,0.000000,0.000000,0.000565,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.103024,0.000141,0.000000,0.000000,0.000848,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000707,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000036,0.000000,0.000036,0.462389,0.030375,0.014245,0.000072,0.001160,0.003081,0.001269,0.000109,0.000000,0.066332,0.000145,0.000000,0.002139,0.000000,0.000362,0.001450,0.000000,0.000761,0.000000,0.001087,0.065643,0.000000,0.002755,0.025626,0.000036,0.001559,0.045236,0.002574,0.000109,0.000072,0.001704,0.006778,0.000109,0.005510,0.000036,0.019682,0.042699,0.003335,0.012251,0.000036,0.000072,0.000254,0.008590,0.007177,0.005038,0.000000,0.000036,0.000834,0.000109,0.000109,0.000362,0.000290,0.089892,0.000109,0.000000,0.001486,0.000000,0.000000,0.040343,0.001196,0.000000,0.022690,0.000326,0.000109,0.000000,0.000109,0.000000,0.000036,0.000000,0.000000,0.000000,0.000000,0.000036
0.001566,0.000000,0.000313,0.000000,0.000000,0.000000,0.000626,0.000000,0.054181,0.000313,0.030379,0.018791,0.000000,0.000626,0.008769,0.000940,0.000000,0.017538,0.000940,0.001566,0.000000,0.000000,0.000000,0.005324,0.000000,0.007203,0.000626,0.000940,0.000000,0.002505,0.002192,0.012214,0.000313,0.001879,0.002819,0.000000,0.000626,0.000000,0.683059,0.000000,0.000000,0.006890,0.000313,0.000000,0.000000,0.000000,0.000000,0.000000,0.057313,0.009082,0.044472,0.016599,0.000313,0.002192,0.000000,0.000000,0.000313,0.000000,0.000000,0.000000,0.002192,0.000000,0.000000,0.000626,0.000626,0.000000,0.000000,0.000000,0.000000,0.000000,0.000626,0.001253,0.000000,0.000000,0.000940,0.000000,0.000000
0.000794,0.000794,0.000000,0.000794,0.024610,0.000000,0.049220,0.002382,0.000000,0.029373,0.000794,0.000000,0.026198,0.000000,0.007939,0.000000,0.000000,0.000000,0.000000,0.014290,0.000000,0.731670,0.000794,0.011114,0.000000,0.000000,0.000794,0.000000,0.079387,0.000000,0.000000,0.007145,0.000000,0.000000,0.000000,0.000794,0.000000,0.000000,0.003175,0.000000,0.000000,0.005557,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000794,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001588,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.624042,0.000000,0.001496,0.000048,0.060987,0.020265,0.000000,0.000579,0.002316,0.000096,0.000000,0.000000,0.016646,0.000000,0.000000,0.000048,0.000482,0.000096,0.000965,0.000000,0.001592,0.000000,0.004728,0.012593,0.000000,0.000531,0.006658,0.000000,0.000145,0.028081,0.001496,0.000096,0.000000,0.000338,0.002316,0.000048,0.001785,0.000096,0.004728,0.054715,0.002943,0.001206,0.000096,0.000048,0.001833,0.005693,0.013703,0.002075,0.000000,0.000000,0.000048,0.000000,0.000000,0.000000,0.000193,0.051916,0.000000,0.000000,0.001978,0.000000,0.002316,0.062145,0.000965,0.000145,0.003522,0.001061,0.000000,0.000000,0.000096,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.247494,0.000000,0.000000,0.511215,0.000295,0.000295,0.000295,0.007088,0.000000,0.000000,0.000000,0.000000,0.010928,0.000000,0.000295,0.003839,0.000295,0.000000,0.000000,0.000000,0.000000,0.000000,0.002953,0.000000,0.000000,0.000000,0.018311,0.000000,0.005611,0.005021,0.000000,0.001477,0.000000,0.000000,0.007974,0.000591,0.000295,0.000000,0.000000,0.138514,0.001181,0.002658,0.007974,0.000000,0.002363,0.004430,0.005021,0.001477,0.000000,0.000886,0.000000,0.000000,0.000295,0.000295,0.000295,0.001477,0.000000,0.000000,0.000295,0.000000,0.000591,0.000591,0.000591,0.001181,0.001772,0.003839,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.094896,0.000483,0.014971,0.636113,0.000241,0.000241,0.000000,0.001449,0.036461,0.000000,0.000483,0.001690,0.000241,0.000000,0.000000,0.001207,0.000483,0.000000,0.018834,0.000000,0.083547,0.000000,0.001207,0.029942,0.000000,0.007727,0.000000,0.000000,0.000241,0.001690,0.000966,0.000000,0.000000,0.000000,0.000000,0.000000,0.002415,0.000241,0.003381,0.005795,0.000483,0.000724,0.000000,0.001207,0.000000,0.000000,0.000241,0.000724,0.000000,0.000000,0.000724,0.000966,0.000000,0.000241,0.013039,0.024871,0.000000,0.000000,0.000241,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010142,0.000000,0.000483,0.000000,0.000000,0.000000,0.000000,0.000000,0.000966,0.000000,0.000000
0.008382,0.000342,0.000000,0.000513,0.000000,0.000171,0.000000,0.000171,0.000000,0.000342,0.000000,0.000000,0.000000,0.000000,0.030790,0.000000,0.578347,0.000000,0.000000,0.000000,0.092028,0.001197,0.063975,0.002053,0.001711,0.000000,0.000000,0.000171,0.031645,0.000000,0.000000,0.000000,0.083818,0.067567,0.000513,0.031132,0.000000,0.000171,0.000000,0.000000,0.000000,0.003421,0.000000,0.000171,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000513,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000513,0.000342,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.004952,0.005869,0.031731,0.000000,0.002201,0.004402,0.001100,0.000000,0.000183,0.000000,0.006420,0.004585,0.000000,0.000367,0.015774,0.011372,0.000550,0.476714,0.002935,0.001100,0.000000,0.000000,0.000000,0.001100,0.007337,0.001284,0.004219,0.011739,0.000000,0.033749,0.002018,0.000000,0.000183,0.009904,0.003485,0.008987,0.002568,0.002384,0.030080,0.011372,0.000550,0.011005,0.000000,0.002384,0.000734,0.000000,0.000000,0.000000,0.047138,0.077952,0.083271,0.012472,0.004035,0.015590,0.000550,0.004219,0.002751,0.000550,0.000000,0.000000,0.000000,0.000000,0.000000,0.013206,0.000917,0.001100,0.010822,0.000000,0.000000,0.000000,0.000550,0.000000,0.000183,0.000000,0.009354,0.000000,0.000000
0.000000,0.043563,0.000513,0.018963,0.024600,0.000000,0.077388,0.001025,0.000000,0.000513,0.018450,0.000000,0.003075,0.001538,0.000000,0.000000,0.000513,0.000513,0.000000,0.026650,0.000000,0.710435,0.000000,0.000000,0.000000,0.000000,0.007175,0.000000,0.000513,0.000000,0.000000,0.012300,0.000000,0.000000,0.000000,0.000000,0.000000,0.002050,0.002050,0.001538,0.024600,0.002050,0.008713,0.000000,0.000000,0.000000,0.002050,0.000000,0.000000,0.000000,0.000000,0.001538,0.001538,0.000000,0.000000,0.000513,0.001025,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000513,0.000513,0.001025,0.000000,0.000000,0.001538,0.000000,0.000000,0.000000,0.000513,0.000513,0.000000
