node_index,w
0.000000,7.058784
1.000000,8.149803
2.000000,6.159134
3.000000,5.854054
4.000000,8.199665
5.000000,6.146213
6.000000,7.702733
7.000000,6.418418
8.000000,7.706203
9.000000,6.947169
10.000000,5.708091
11.000000,4.757907
12.000000,5.076583
13.000000,3.879252
14.000000,6.456295
15.000000,4.629428
16.000000,6.520166
17.000000,6.889241
18.000000,3.657294
19.000000,6.217540
20.000000,5.798038
21.000000,7.491625
22.000000,5.669272
23.000000,6.009977
24.000000,4.295227
25.000000,2.221232
26.000000,6.246535
27.000000,5.246800
28.000000,5.454590
29.000000,5.925728
30.000000,6.596210
31.000000,5.654387
32.000000,5.603040
33.000000,4.327121
34.000000,5.736668
35.000000,4.025376
36.000000,6.055320
37.000000,5.297592
38.000000,6.194507
39.000000,4.847479
40.000000,7.155591
41.000000,6.999094
42.000000,3.189462
43.000000,2.833009
44.000000,5.047740
45.000000,3.684563
46.000000,4.247368
47.000000,5.516560
48.000000,6.544122
49.000000,5.779902
50.000000,5.914242
51.000000,5.862930
52.000000,5.320347
53.000000,5.325646
54.000000,5.811255
55.000000,6.215901
56.000000,6.742705
57.000000,3.570266
58.000000,1.652556
59.000000,5.029863
60.000000,2.926410
61.000000,4.192241
62.000000,5.389534
63.000000,4.741658
64.000000,5.086146
65.000000,3.984476
66.000000,6.941947
67.000000,1.667755
68.000000,2.136689
69.000000,0.096830
70.000000,3.584068
71.000000,1.018168
72.000000,3.751806
73.000000,1.143936
74.000000,3.625022
75.000000,2.602119
76.000000,1.783372
