year,nodeid,true,predict
1985,1311,30817.0,30817.0
1986,1311,31943.0,31943.0
1987,1311,33525.0,33525.0
1988,1311,34417.0,34417.0
1989,1311,36535.0,36535.0
1990,1311,42328.0,42328.0
1991,1311,38874.0,38874.0
1992,1311,39420.0,39420.0
1993,1311,40489.0,40489.0
1994,1311,42954.0,42954.0
1995,1311,44842.0,44842.0
1996,1311,47789.0,47789.0
1997,1311,48728.0,48728.0
1998,1311,50718.0,50718.0
1999,1311,51816.0,51816.0
2000,1311,60691.0,60691.0
2001,1311,59586.0,59586.0
2002,1311,62451.0,62451.0
2003,1311,66860.0,66860.0
2004,1311,72821.0,72821.0
2005,1311,76178.0,76178.0
2006,1311,83173.0,83173.0
2007,1311,84718.0,84718.0
2008,1311,93161.0,93161.0
2009,1311,98798.0,98798.0
2010,1311,101876.0,101876.0
2011,1311,104802.0,104802.0
2012,1311,107526.0,107526.0
2013,1311,110536.0,110536.0
2014,1311,113155.0,113155.0
2015,1311,113197.0,113197.0
2016,1311,112530.0,112530.0
2017,1311,108948.0,108948.0
2018,1311,111404.0,111404.0
2019,1311,115025.0,115025.0
2020,1311,115035.0,115189.125
2021,1311,113685.0,115226.5625
2022,1311,106066.0,113380.046875
2023,1311,106274.0,107415.09375
2024,1311,111391.0,106336.609375
2025,1311,,111611.1953125
2026,1311,,111742.9375
2027,1311,,111143.6484375
2028,1311,,110757.6875
2029,1311,,111024.8828125
1975,1312,58914.0,58914.0
1976,1312,58905.0,58905.0
1977,1312,61718.0,61718.0
1978,1312,65249.0,65249.0
1979,1312,67557.0,67557.0
1980,1312,74655.0,74655.0
1981,1312,75061.0,75061.0
1982,1312,78825.0,78825.0
1983,1312,80765.0,80765.0
1984,1312,85501.0,85501.0
1985,1312,89870.0,89870.0
1986,1312,93552.0,93552.0
1987,1312,97935.0,97935.0
1988,1312,101572.0,101572.0
1989,1312,106234.0,106234.0
1990,1312,117662.0,117662.0
1991,1312,114876.0,114876.0
1992,1312,120058.0,120058.0
1993,1312,123146.0,123146.0
1994,1312,130091.0,130091.0
1995,1312,135693.0,135693.0
1996,1312,144637.0,144637.0
1997,1312,146897.0,146897.0
1998,1312,152466.0,152466.0
1999,1312,156160.0,156160.0
2000,1312,172743.0,172743.0
2001,1312,174567.0,174567.0
2002,1312,186185.0,186185.0
2003,1312,201534.0,201534.0
2004,1312,219267.0,219267.0
2005,1312,228017.0,228017.0
2006,1312,249233.0,249233.0
2007,1312,257546.0,257546.0
2008,1312,275230.0,275230.0
2009,1312,293778.0,293778.0
2010,1312,309779.0,309779.0
2011,1312,324195.0,324195.0
2012,1312,330114.0,330114.0
2013,1312,340743.0,340743.0
2014,1312,346737.0,346737.0
2015,1312,343618.0,343618.0
2016,1312,335101.0,335101.0
2017,1312,325460.0,325460.0
2018,1312,327765.0,327765.0
2019,1312,341123.0,341123.0
2020,1312,346939.0,335669.8125
2021,1312,344903.0,341317.1875
2022,1312,340156.0,341661.15625
2023,1312,330185.0,338676.9375
2024,1312,342320.0,333006.0
2025,1312,,340543.03125
2026,1312,,339675.40625
2027,1312,,337579.90625
2028,1312,,335650.53125
2029,1312,,335265.46875
1975,2403,10729.0,10729.0
1976,2403,11237.0,11237.0
1977,2403,12375.0,12375.0
1978,2403,12975.0,12975.0
1979,2403,13660.0,13660.0
1980,2403,14291.0,14291.0
1981,2403,15201.0,15201.0
1982,2403,16252.0,16252.0
1983,2403,17029.0,17029.0
1984,2403,17627.0,17627.0
1985,2403,19769.0,19769.0
1986,2403,20790.0,20790.0
1987,2403,22047.0,22047.0
1988,2403,22805.0,22805.0
1989,2403,23919.0,23919.0
1990,2403,24923.0,24923.0
1991,2403,25622.0,25622.0
1992,2403,25314.0,25314.0
1993,2403,26916.0,26916.0
1994,2403,28299.0,28299.0
1995,2403,29732.0,29732.0
1996,2403,30842.0,30842.0
1997,2403,32681.0,32681.0
1998,2403,32619.0,32619.0
1999,2403,32884.0,32884.0
2000,2403,35940.0,35940.0
2001,2403,36364.0,36364.0
2002,2403,37330.0,37330.0
2003,2403,41050.0,41050.0
2004,2403,45000.0,45000.0
2005,2403,47045.0,47045.0
2006,2403,51586.0,51586.0
2007,2403,53689.0,53689.0
2008,2403,58041.0,58041.0
2009,2403,61230.0,61230.0
2010,2403,62834.0,62834.0
2011,2403,67046.0,67046.0
2012,2403,68904.0,68904.0
2013,2403,73326.0,73326.0
2014,2403,73485.0,73485.0
2015,2403,72350.0,72350.0
2016,2403,71539.0,71539.0
2017,2403,70884.0,70884.0
2018,2403,71903.0,71903.0
2019,2403,76785.0,76785.0
2020,2403,79215.0,74995.6875
2021,2403,80162.0,77059.4453125
2022,2403,80457.0,78293.5234375
2023,2403,81287.0,78991.28125
2024,2403,80716.0,79789.453125
2025,2403,,80350.1015625
2026,2403,,79383.046875
2027,2403,,78549.7265625
2028,2403,,77656.0546875
2029,2403,,77097.5234375
