year,nodeid,true,predict
1975,10181,621.0,621.0
1976,10181,589.0,589.0
1977,10181,686.0,686.0
1978,10181,698.0,698.0
1979,10181,696.0,696.0
1980,10181,772.0,772.0
1981,10181,863.0,863.0
1982,10181,947.0,947.0
1983,10181,958.0,958.0
1984,10181,1113.0,1113.0
1985,10181,1046.0,1046.0
1986,10181,1344.0,1344.0
1987,10181,1323.0,1323.0
1988,10181,1516.0,1516.0
1989,10181,1620.0,1620.0
1990,10181,1916.0,1916.0
1991,10181,1919.0,1919.0
1992,10181,2172.0,2172.0
1993,10181,2239.0,2239.0
1994,10181,2616.0,2616.0
1995,10181,2345.0,2345.0
1996,10181,2885.0,2885.0
1997,10181,2896.0,2896.0
1998,10181,3459.0,3459.0
1999,10181,3340.0,3340.0
2000,10181,4426.0,4426.0
2001,10181,4373.0,4373.0
2002,10181,6442.0,6442.0
2003,10181,6164.0,6164.0
2004,10181,7233.0,7233.0
2005,10181,7451.0,7451.0
2006,10181,8477.0,8477.0
2007,10181,9014.0,9014.0
2008,10181,9935.0,9935.0
2009,10181,10334.0,10334.0
2010,10181,11211.0,11211.0
2011,10181,11255.0,11255.0
2012,10181,11671.0,11671.0
2013,10181,11643.0,11643.0
2014,10181,12361.0,12361.0
2015,10181,11962.0,11962.0
2016,10181,12521.0,12521.0
2017,10181,11706.0,11706.0
2018,10181,13044.0,13044.0
2019,10181,14027.0,14027.0
2020,10181,15362.0,14432.1396484375
2021,10181,15199.0,15832.904296875
2022,10181,12296.0,16252.4794921875
2023,10181,14711.0,13622.0576171875
2024,10181,15438.0,14559.365234375
2025,10181,,15653.7666015625
2026,10181,,16147.203125
2027,10181,,17058.6875
2028,10181,,17600.59765625
2029,10181,,18285.013671875
1975,10215,415.0,415.0
1976,10215,416.0,416.0
1977,10215,486.0,486.0
1978,10215,431.0,431.0
1979,10215,548.0,548.0
1980,10215,712.0,712.0
1981,10215,622.0,622.0
1982,10215,778.0,778.0
1983,10215,919.0,919.0
1984,10215,1010.0,1010.0
1985,10215,1057.0,1057.0
1986,10215,1359.0,1359.0
1987,10215,1538.0,1538.0
1988,10215,1726.0,1726.0
1989,10215,1870.0,1870.0
1990,10215,2134.0,2134.0
1991,10215,2173.0,2173.0
1992,10215,2340.0,2340.0
1993,10215,2573.0,2573.0
