year,nodeid,true,predict
1994,10215,2643.0,2643.0
1995,10215,2791.0,2791.0
1996,10215,2899.0,2899.0
1997,10215,3108.0,3108.0
1998,10215,3306.0,3306.0
1999,10215,3486.0,3486.0
2000,10215,3821.0,3821.0
2001,10215,4160.0,4160.0
2002,10215,7173.0,7173.0
2003,10215,6774.0,6774.0
2004,10215,7369.0,7369.0
2005,10215,8414.0,8414.0
2006,10215,8974.0,8974.0
2007,10215,9729.0,9729.0
2008,10215,10359.0,10359.0
2009,10215,10230.0,10230.0
2010,10215,10885.0,10885.0
2011,10215,10122.0,10122.0
2012,10215,10006.0,10006.0
2013,10215,10095.0,10095.0
2014,10215,9610.0,9610.0
2015,10215,9082.0,9082.0
2016,10215,8507.0,8507.0
2017,10215,7575.0,7575.0
2018,10215,7231.0,7231.0
2019,10215,6971.0,6971.0
2020,10215,5837.0,6633.4990234375
2021,10215,4649.0,5756.8876953125
2022,10215,3285.0,4747.5009765625
2023,10215,3280.0,3461.383544921875
2024,10215,5362.0,3165.716552734375
2025,10215,,4852.92626953125
2026,10215,,5212.09228515625
2027,10215,,5642.25439453125
2028,10215,,5917.72265625
2029,10215,,5984.125
1975,10320,928.0,928.0
1976,10320,857.0,857.0
1977,10320,922.0,922.0
1978,10320,1014.0,1014.0
1979,10320,918.0,918.0
1980,10320,952.0,952.0
1981,10320,943.0,943.0
1982,10320,1006.0,1006.0
1983,10320,1081.0,1081.0
1984,10320,1079.0,1079.0
1985,10320,1232.0,1232.0
1986,10320,1431.0,1431.0
1987,10320,1777.0,1777.0
1988,10320,2275.0,2275.0
1989,10320,2789.0,2789.0
1990,10320,3299.0,3299.0
1991,10320,4124.0,4124.0
1992,10320,4381.0,4381.0
1993,10320,4402.0,4402.0
1994,10320,4953.0,4953.0
1995,10320,4675.0,4675.0
1996,10320,5039.0,5039.0
1997,10320,5082.0,5082.0
1998,10320,5126.0,5126.0
1999,10320,5016.0,5016.0
2000,10320,5488.0,5488.0
2001,10320,5018.0,5018.0
2002,10320,17846.0,17846.0
2003,10320,10674.0,10674.0
2004,10320,7753.0,7753.0
2005,10320,10159.0,10159.0
2006,10320,9903.0,9903.0
2007,10320,8743.0,8743.0
2008,10320,8973.0,8973.0
2009,10320,9348.0,9348.0
2010,10320,9604.0,9604.0
2011,10320,9190.0,9190.0
2012,10320,8657.0,8657.0
2013,10320,8584.0,8584.0
2014,10320,8495.0,8495.0
2015,10320,8227.0,8227.0
2016,10320,8398.0,8398.0
2017,10320,8542.0,8542.0
2018,10320,9432.0,9432.0
2019,10320,10421.0,10421.0
2020,10320,9358.0,10223.259765625
2021,10320,8877.0,9562.70703125
2022,10320,7240.0,8900.1396484375
2023,10320,7871.0,7208.76123046875
2024,10320,13741.0,7255.29296875
2025,10320,,12366.86328125
2026,10320,,12195.7109375
2027,10320,,13209.359375
2028,10320,,13316.4794921875
2029,10320,,12862.9921875
1975,12157,1846.0,1846.0
1976,12157,2094.0,2094.0
1977,12157,2196.0,2196.0
1978,12157,2304.0,2304.0
1979,12157,2607.0,2607.0
1980,12157,2690.0,2690.0
1981,12157,2725.0,2725.0
1982,12157,2877.0,2877.0
1983,12157,3078.0,3078.0
1984,12157,3297.0,3297.0
1985,12157,3210.0,3210.0
1986,12157,3294.0,3294.0
1987,12157,3479.0,3479.0
1988,12157,3469.0,3469.0
1989,12157,3467.0,3467.0
1990,12157,3756.0,3756.0
1991,12157,3577.0,3577.0
1992,12157,3726.0,3726.0
1993,12157,4227.0,4227.0
1994,12157,3846.0,3846.0
1995,12157,4100.0,4100.0
1996,12157,4157.0,4157.0
1997,12157,4232.0,4232.0
1998,12157,4224.0,4224.0
1999,12157,4457.0,4457.0
2000,12157,4979.0,4979.0
2001,12157,5705.0,5705.0
2002,12157,5909.0,5909.0
2003,12157,6672.0,6672.0
2004,12157,6842.0,6842.0
2005,12157,6923.0,6923.0
2006,12157,7795.0,7795.0
2007,12157,7807.0,7807.0
2008,12157,8387.0,8387.0
2009,12157,9344.0,9344.0
2010,12157,10116.0,10116.0
2011,12157,9802.0,9802.0
2012,12157,10883.0,10883.0
2013,12157,11158.0,11158.0
2014,12157,12273.0,12273.0
2015,12157,11501.0,11501.0
2016,12157,11687.0,11687.0
2017,12157,11572.0,11572.0
2018,12157,12105.0,12105.0
2019,12157,13887.0,13887.0
2020,12157,12960.0,14336.2919921875
2021,12157,12315.0,14307.775390625
2022,12157,11176.0,13520.041015625
2023,12157,11123.0,12145.869140625
2024,12157,12065.0,11618.056640625
2025,12157,,12534.5576171875
2026,12157,,13308.1328125
2027,12157,,14232.5
2028,12157,,15248.5048828125
2029,12157,,16304.7412109375
1975,13559,5.0,5.0
1976,13559,9.0,9.0
1977,13559,15.0,15.0
1978,13559,10.0,10.0
1979,13559,8.0,8.0
1980,13559,12.0,12.0
1981,13559,17.0,17.0
1982,13559,17.0,17.0
1983,13559,29.0,29.0
1984,13559,36.0,36.0
1985,13559,26.0,26.0
1986,13559,35.0,35.0
1987,13559,31.0,31.0
1988,13559,41.0,41.0
1989,13559,36.0,36.0
1990,13559,38.0,38.0
1991,13559,54.0,54.0
1992,13559,38.0,38.0
1993,13559,65.0,65.0
1994,13559,68.0,68.0
1995,13559,67.0,67.0
1996,13559,73.0,73.0
1997,13559,87.0,87.0
1998,13559,53.0,53.0
1999,13559,95.0,95.0
2000,13559,139.0,139.0
2001,13559,180.0,180.0
2002,13559,278.0,278.0
2003,13559,294.0,294.0
2004,13559,409.0,409.0
2005,13559,541.0,541.0
2006,13559,737.0,737.0
2007,13559,902.0,902.0
2008,13559,1604.0,1604.0
2009,13559,1900.0,1900.0
2010,13559,2748.0,2748.0
2011,13559,3457.0,3457.0
2012,13559,4484.0,4484.0
2013,13559,5989.0,5989.0
2014,13559,7096.0,7096.0
2015,13559,9338.0,9338.0
2016,13559,10807.0,10807.0
2017,13559,13601.0,13601.0
2018,13559,14867.0,14867.0
2019,13559,18226.0,18226.0
2020,13559,18824.0,21986.3828125
2021,13559,19642.0,23086.296875
2022,13559,18064.0,23240.88671875
2023,13559,21076.0,21565.61328125
2024,13559,18723.0,23400.919921875
2025,13559,,22053.0859375
2026,13559,,24548.291015625
2027,13559,,28007.791015625
2028,13559,,31967.138671875
2029,13559,,38147.41796875
1975,13734,311.0,311.0
1976,13734,285.0,285.0
1977,13734,304.0,304.0
1978,13734,299.0,299.0
1979,13734,314.0,314.0
1980,13734,382.0,382.0
1981,13734,386.0,386.0
1982,13734,413.0,413.0
1983,13734,438.0,438.0
1984,13734,530.0,530.0
1985,13734,532.0,532.0
1986,13734,640.0,640.0
1987,13734,740.0,740.0
1988,13734,786.0,786.0
1989,13734,835.0,835.0
1990,13734,939.0,939.0
1991,13734,1034.0,1034.0
1992,13734,1056.0,1056.0
1993,13734,1149.0,1149.0
1994,13734,1188.0,1188.0
1995,13734,1168.0,1168.0
1996,13734,1316.0,1316.0
1997,13734,1479.0,1479.0
1998,13734,1572.0,1572.0
1999,13734,3075.0,3075.0
2000,13734,6885.0,6885.0
2001,13734,9999.0,9999.0
2002,13734,13777.0,13777.0
2003,13734,16702.0,16702.0
2004,13734,19618.0,19618.0
2005,13734,23024.0,23024.0
2006,13734,25720.0,25720.0
2007,13734,27830.0,27830.0
2008,13734,28305.0,28305.0
2009,13734,29175.0,29175.0
2010,13734,28733.0,28733.0
2011,13734,24794.0,24794.0
2012,13734,20378.0,20378.0
2013,13734,16980.0,16980.0
2014,13734,12154.0,12154.0
2015,13734,8184.0,8184.0
2016,13734,4511.0,4511.0
2017,13734,3806.0,3806.0
2018,13734,3807.0,3807.0
2019,13734,3547.0,3547.0
2020,13734,2964.0,2269.10009765625
2021,13734,2297.0,2177.86181640625
2022,13734,1967.0,1647.669921875
2023,13734,2082.0,1284.34033203125
2024,13734,4262.0,1302.11083984375
2025,13734,,3853.935791015625
2026,13734,,3866.3251953125
2027,13734,,4144.42529296875
2028,13734,,4221.66845703125
2029,13734,,3616.094482421875
