pub_year,10020,10028,10100,10126,10181,10201,10215,10237,10320,10456,10462,10637,10639,10664,10682,10711,10764,10820,10862,10906,10951,11010,11130,11269,11273,11276,11303,11307,11424,11512,11550,11574,11598,11612,11652,11689,11901,11902,11975,12026,12031,12072,12128,12131,12157,12260,12262,12380,12535,12611,12676,12761,12805,12814,13018,13062,13083,13398,13514,13559,13567,13623,13629,13650,13674,13702,13734,13851,13898,13904,13935,14064,14175,14335,14351,14381,14413
1975,280,88,56,505,621,303,415,24,928,48,29,55,83,3,110,406,18,87,68,134,29,384,473,440,1,314,174,7,32,49,27,96,26,3,22,14,436,332,130,9,315,136,46,13,1846,7,51,32,24,33,5,8,167,40,473,42,199,41,9,5,0,423,112,476,38,28,311,46,25,9,258,9,8,120,167,22,0
1976,291,71,75,598,589,286,416,12,857,42,31,42,127,1,97,355,14,134,82,133,43,384,481,446,2,399,191,8,33,34,8,117,24,12,17,9,439,329,126,4,249,96,35,4,2094,7,51,23,22,32,4,8,179,34,558,70,168,30,4,9,1,412,120,423,18,37,285,47,20,9,222,6,16,129,148,12,0
1977,293,110,74,675,686,272,486,17,922,66,23,32,130,1,96,395,13,149,82,201,35,404,454,430,0,437,200,5,38,44,12,95,16,6,27,4,425,377,136,2,329,112,39,15,2196,9,58,27,26,39,2,6,157,38,517,69,177,17,8,15,2,502,112,520,14,36,304,63,22,12,241,6,9,134,163,27,2
1978,324,100,70,586,698,299,431,37,1014,79,41,53,166,3,87,362,17,121,91,154,46,384,503,496,5,423,200,9,39,44,15,105,21,12,25,14,497,332,102,6,284,97,28,10,2304,5,59,31,30,43,3,9,211,37,563,72,159,26,7,10,0,525,127,408,22,30,299,95,24,6,221,9,8,145,157,13,0
1979,309,110,66,649,696,278,548,32,918,83,24,49,160,1,92,410,16,148,113,182,42,457,431,475,3,470,196,7,60,38,13,111,19,12,17,5,453,298,135,6,340,118,32,9,2607,10,52,28,32,51,0,10,226,31,640,72,211,29,9,8,1,518,138,446,26,36,314,80,21,8,226,5,3,150,158,19,2
1980,337,128,53,723,772,326,712,30,952,102,21,53,216,1,105,374,19,181,105,217,49,525,493,539,4,474,227,9,55,47,12,104,27,17,23,13,529,323,160,4,401,110,33,12,2690,7,53,26,24,33,10,14,251,29,607,74,230,35,6,12,1,569,145,451,25,44,382,81,14,7,195,7,11,155,181,22,1
1981,353,122,77,684,863,352,622,39,943,100,20,69,221,2,108,395,18,164,130,213,65,463,501,591,6,603,216,11,43,69,12,117,33,16,22,14,496,301,142,9,344,129,37,14,2725,11,47,36,37,50,8,10,247,29,622,84,197,54,6,17,0,576,157,473,32,53,386,71,17,11,201,7,12,152,153,27,4
1982,353,141,59,779,947,382,778,61,1006,120,29,54,283,1,106,451,16,169,151,238,76,526,534,652,6,485,230,6,65,47,21,162,30,15,20,14,589,366,147,13,413,135,33,12,2877,8,55,38,23,48,4,11,250,35,589,89,229,44,14,17,1,617,180,526,35,45,413,105,15,9,220,10,13,168,147,19,3
1983,399,145,80,843,958,391,919,70,1081,136,30,73,272,3,112,442,19,223,165,396,85,668,550,653,1,553,306,5,78,63,18,149,29,19,17,11,582,402,161,17,434,128,46,7,3078,4,55,34,44,55,9,16,258,41,688,74,251,56,10,29,0,678,162,532,44,53,438,121,19,11,227,8,10,187,172,22,2
1984,477,157,98,924,1113,432,1010,69,1079,180,19,66,287,1,110,385,15,216,122,459,91,728,605,665,5,498,237,7,69,65,17,150,39,23,29,16,515,402,187,18,461,148,69,7,3297,7,55,28,24,86,13,12,270,44,683,73,246,51,5,36,1,677,157,522,44,55,530,94,17,5,236,9,19,174,202,33,1
