pub_year,1502,1503,1504,1506,1507,1508,1602,1603,1604,1605,1606,1607,1702,1703,1704,1705,1706,1707,1708,1709,1710,1711,1712,1902,1904,1906,1907,1908,1910,1911,1912,2100,2102,2103,2104,2105,2200,2202,2203,2204,2205,2206,2207,2208,2209,2210,2211,2212,2213,2214,2215,2216,2302,2303,2304,2305,2306,2307,2308,2309,2310,2311,2312,2500,2502,2503,2504,2505,2506,2507,2508,2602,2604,2605,2607,2608,2610,2611,2612,2613,2614,3102,3103,3104,3105,3106,3107,3108,3109
1975,2614,3133,337,1109,2835,605,4649,3271,13050,43177,13504,19855,11497,8178,715,6055,789,3407,1458,383,4441,1622,703,9703,2913,2453,2244,7266,7375,3134,490,448,269,454,73,5106,91,20380,3462,22779,11074,14999,8939,30858,4228,24848,17800,8105,4534,2391,4371,765,626,14882,5129,4083,8083,4846,6221,4684,2929,3476,4377,3174,3659,1830,7749,33144,665,4884,3869,2823,6515,49,1300,5259,5829,765,2734,3618,861,119,17716,5575,2433,12280,29643,9456,6872
1976,2548,3014,361,1104,2898,622,4736,3197,11905,41375,12944,19092,11718,8285,701,6304,933,3262,1641,383,4408,1659,676,10019,3187,2642,2698,7715,7402,3144,537,429,362,529,90,6095,119,18547,3711,22580,11700,15199,8688,30347,4360,25542,17621,8343,4314,2340,4577,708,602,15394,5486,4300,8553,5075,6769,5072,3063,3519,4617,3002,3692,1907,8065,32286,722,4917,3600,2712,6501,51,1327,5179,5849,753,2749,3759,899,120,17228,5481,2403,11010,28662,8054,6823
1977,2534,3131,375,1152,2936,674,5089,3303,12218,41789,12772,19011,12485,8306,721,6317,814,3473,1773,396,4478,1764,759,10622,3321,2625,2754,7955,8069,3697,599,510,372,613,70,6369,123,19714,3803,23576,11536,15360,9259,31363,4719,25568,17758,8571,4631,2383,4765,762,684,16163,5536,4691,8957,5276,7514,5432,3416,3675,4754,2823,3962,1795,7944,32486,720,5059,3670,2507,6087,47,1254,4750,5667,745,2719,3795,822,132,18538,5729,2568,11703,29154,8135,6972
1978,2652,3069,446,1127,2984,707,5321,3395,11914,42261,12693,19419,12758,8385,790,6754,903,3801,1878,406,4767,1987,843,11001,3568,2872,2883,8231,8343,3806,626,511,405,633,78,6735,161,19095,4026,24254,12276,15379,9208,31870,4537,26522,18320,8697,4687,2433,4976,794,765,17356,6128,4701,9652,5868,7837,5804,3602,3929,5014,3067,4100,2030,7919,33347,760,5294,3786,2655,5965,75,1294,4834,5772,786,2756,4032,783,139,17821,5773,2867,11513,29831,7978,7327
1979,2845,3365,476,1103,3069,724,5517,3790,12353,42583,12673,19854,13327,8637,819,7345,801,4352,2076,461,4912,2188,812,11524,3616,3416,3015,8982,8849,4032,696,547,519,758,72,7620,153,20663,4234,26277,12751,16396,9930,34330,4788,27266,19468,9589,4910,2510,5096,823,771,18264,6302,5166,10302,6291,8476,5945,3859,4103,5532,2803,4070,1998,7944,34094,873,5380,3817,2553,6088,59,1251,4950,5684,782,2801,4123,856,149,19846,5987,3083,12642,30550,8213,7489
1980,3081,3550,517,1148,3492,875,6053,4047,13266,42883,13482,20502,14356,9052,879,7968,771,4347,2237,431,5199,2275,884,12049,4034,3434,3035,9170,9194,4373,766,513,513,581,68,8472,140,20249,4616,27836,13914,17057,10520,36656,4970,29932,20313,9551,5193,2584,5772,932,834,21459,7039,5813,11595,6822,9887,7716,4334,4414,6670,2877,4464,2476,8771,36490,889,5766,4039,2723,6225,79,1318,5157,5982,846,2982,4412,807,150,20136,6502,3116,11720,31909,7965,7626
1981,3135,3791,527,1258,3506,830,6020,4126,13236,43823,13330,21424,14661,9313,904,8398,929,4721,2403,556,5623,2404,1043,12763,3849,3389,3162,9704,9761,4512,739,569,542,754,61,8597,118,21802,4359,29469,13633,17613,11021,39939,4907,30166,20650,10261,5677,2745,5833,941,853,19935,6769,5805,11464,6736,9388,6837,4121,4327,6144,2938,4458,2566,9163,38825,985,5892,4306,2750,6265,65,1406,5389,6114,772,2890,4515,839,144,21301,7028,3351,14175,34088,8811,7932
1982,3222,3946,584,1228,3528,911,6321,4035,13517,43965,13031,21335,15642,9709,992,9221,985,4843,3101,579,5879,2525,1160,12950,4371,3635,3487,10229,9906,4707,651,522,554,857,53,8336,147,20809,4383,29117,14069,18491,11932,39564,5210,31511,21201,11106,5876,2816,6012,874,829,20073,7220,5945,11629,7308,8990,7143,4332,4401,6157,2944,4680,2574,8979,38685,1001,5940,4214,2865,6514,80,1452,5462,6558,829,3027,4703,844,164,20969,6822,3606,12770,33654,8311,8223
1983,3513,3954,542,1304,3603,950,6743,4536,14127,45414,12994,21805,16899,10145,1068,10303,1149,5302,3213,663,6376,2786,1300,13482,4415,3622,3374,10275,10373,4608,758,469,546,900,53,8392,140,21901,4587,31420,15336,19830,12797,42337,5835,33013,22623,11521,6162,3158,6408,854,884,20668,7182,6167,12447,7720,9482,7593,4619,4650,6346,2998,4719,2687,9473,40689,1053,6402,4624,2798,6858,70,1422,5892,6804,895,3219,4924,863,151,21769,7502,3874,14441,35744,8776,9139
