pub_year,1312 - Molecular Biology,1110 - Plant Science,1311 - Genetics,1106 - Food Science,"1105 - Ecology, Evolution, Behavior and Systematic",2403 - Immunology,2805 - Cognitive Neuroscience,2804 - Cellular and Molecular Neuroscience,1307 - Cell Biology,1306 - Cancer Research,1100 - General Agricultural and Biological Science,1109 - Insect Science,1102 - Agronomy and Crop Science,1111 - Soil Science,1103 - Animal Science and Zoology,3004 - Pharmacology,1305 - Biotechnology,2808 - Neurology,1104 - Aquatic Science,1303 - Biochemistry,1308 - Clinical Biochemistry,3003 - Pharmaceutical Science,2404 - Microbiology,2405 - Parasitology,2807 - Endocrine and Autonomic Systems,1107 - Forestry,1304 - Biophysics,1310 - Endocrinology,2406 - Virology,1313 - Molecular Medicine
1975,1.0,0.4241490862786936,0.3668135044911725,0.14043087724128436,0.24266097670096706,0.17085383900609147,0.11461954090236431,0.1610111160821833,0.1617854561723509,0.0725642702274839,0.06623188904566886,0.09861651237223389,0.07834600956740201,0.025553222975530854,0.10441545926971126,0.06760849365041126,0.05263791857383763,0.054771655711188354,0.02902914960250542,0.09068382833740579,0.08990948824723818,0.10813229170251575,0.03197164194514231,0.03506900230581271,0.030044395498502942,0.007536910210964655,0.03324500120452903,0.023746429431806448,0.00041298138142272086,0.0
1976,1.0,0.44381877357028465,0.37433486593997006,0.136729176353085,0.25093420123641746,0.17914277350140345,0.12038711232801226,0.17683525339670403,0.16202579600833464,0.07576931687072722,0.0671591672263264,0.1060253827211517,0.0818825231182518,0.030824335726954935,0.10630090750977252,0.0714986826471044,0.05121317008489608,0.05548380430851888,0.03271856864872311,0.08997606378398856,0.09004494498114378,0.10444111518658195,0.03428561588400406,0.038177403523273236,0.03125484320917497,0.008110760965025571,0.03271856864872311,0.023178522842727006,0.0,0.0013087427459489247
1977,1.0,0.4494158301793648,0.3743294388678624,0.13881849596840545,0.2512917558005595,0.1880368602929077,0.12183643245022215,0.17793319071910482,0.1659535955241073,0.07946355109428994,0.0654599308869508,0.1045252591739345,0.07715978278755965,0.03067302945532335,0.10204048050024683,0.06870166200427842,0.049662662497943065,0.05338160276452197,0.031232516044100708,0.08940266578904064,0.08751028467994076,0.09452032252756294,0.03320717459272667,0.03488563435905875,0.030722395919039,0.006467006746750041,0.029702155668915584,0.02302122757939773,0.0,0.0007898634194503867
1978,1.0,0.44372540173918457,0.36818443445389915,0.13775026056655726,0.2456637058009116,0.18681455439229655,0.12295630259944308,0.18056095701818523,0.16539364995410918,0.08377020363081997,0.06295599147519562,0.10156651058600252,0.07445203241914658,0.029354572748627163,0.10260877681502108,0.0699407308308573,0.05239332327364933,0.05254888539738344,0.03129909929530358,0.08705256444160976,0.08549694320426862,0.0927461381702783,0.03305695129349906,0.034550347681346544,0.03218580340058803,0.007700325124838604,0.028530093492836365,0.02191870323413655,0.0,0.0008244792557908
1979,1.0,0.45000750863493016,0.36727736897432045,0.13859438354107223,0.2533263252740652,0.19061420633728787,0.12368223456975522,0.19525454272413276,0.15855233518546327,0.08609400810932573,0.06335786154077189,0.10223757320919057,0.07867547679831807,0.03381889172548431,0.09873854933173148,0.06738248986334285,0.05164439104970716,0.05220003003453972,0.03129599038894729,0.08588376633128098,0.08083796365820693,0.0866196125544376,0.03437453071031686,0.035020273314311456,0.03353356359813786,0.00810932572458327,0.02875807178254993,0.023426940982129447,0.0,0.003048505781648896
1980,1.0,0.7324680619733623,0.39597716770861646,0.18691220440337047,0.30747485729817886,0.1796140255504213,0.11513998369122044,0.18646371296547976,0.17521065506931233,0.08294373471051916,0.12397390595270454,0.14154661592824136,0.20250067953248166,0.07334873606958413,0.13447947811905409,0.06687958684425116,0.05216091329165534,0.046507203044305515,0.03674911660777385,0.08076923076923077,0.07518347377004621,0.07860831747757543,0.036721935308507744,0.045392769774395214,0.033460179396575154,0.02039956509921174,0.024395216091329167,0.02491166077738516,0.0,0.002133731992389236
1981,1.0,0.4522860809076788,0.34853785371783613,0.136124805835078,0.24508678327817923,0.1914634969946647,0.12082123320051327,0.19856824474910514,0.16219355710137098,0.09090295130681435,0.0610116836631323,0.0998716823124198,0.07676099142297561,0.03580738839737962,0.09771054231106908,0.06792733166745459,0.05324508678327818,0.04938204903086378,0.03240359289525224,0.08385223205240765,0.07713919092321199,0.07934085229958804,0.03382184102113865,0.03475383264672115,0.03665833727291146,0.010711150131694469,0.029026811643141758,0.023205240764503275,0.0,0.004727493752954684
1982,1.0,0.45096425816405245,0.3454615582411931,0.1344690151709951,0.23409616868089483,0.1955129853432759,0.11793520185137568,0.20047570069426587,0.16326819233736178,0.08989457444073026,0.059501157109796865,0.1,0.07874775006428388,0.03806891231679095,0.09417588068912316,0.06839804577012086,0.051388531756235534,0.047981486243250195,0.033453329904859865,0.08022627924916431,0.07265363846747236,0.07549498585754692,0.03593468758035485,0.03299048598611468,0.034687580354847,0.010298277192080227,0.027552069940858834,0.02256364103882746,0.0,0.004834147595782977
1983,1.0,0.4581441436921456,0.3390487419411484,0.13758372425557536,0.23926949803075534,0.20056192459172667,0.12111481825251487,0.20821312997014776,0.16282015904472819,0.09239144068434388,0.057484384015252236,0.10177357449263728,0.07923387602538695,0.038757745277575695,0.09033439530391592,0.06877304768833253,0.05446153074279407,0.04885482778516419,0.03209743371045832,0.07653713970348443,0.07167047136442314,0.07352682939066302,0.037842109224092514,0.0346060256378095,0.03579760680330131,0.011690038381456488,0.027293480169580813,0.02343024860146,0.0,0.006296565737651456
1984,1.0,0.4629377258991527,0.3347277359720329,0.13136220892338685,0.24068258576761273,0.19566273626829414,0.11903774367482373,0.20351958286425312,0.1589974521538188,0.0927179001007288,0.05682289506428868,0.10058659714404218,0.08221840374474136,0.03886946732239142,0.09144990223380933,0.06744089589381999,0.05170350180719322,0.04382295431652545,0.03302719677667832,0.077774485986846,0.06803341826153937,0.07039165728506251,0.03527878177401197,0.035563192510517275,0.03730520827161225,0.009859572198850506,0.02698346862594063,0.021638916869111808,0.0,0.005427504888309534
