dataset_id,n_variables,start_year,end_year,train_len,val_len,test_len,test_year_start,test_year_end,selected_input_size,selected_val_global_mae,model_type,global_mae,global_rmse,global_mape_pct
1,42,1950,2024,65,5,5,2020,2024,20,2707.310789419002,nbeats_torch,3341.4033971171966,5850.485788126579,10.35477847010971
2,58,1950,2024,65,5,5,2020,2024,12,4700.581388073038,nbeats_torch,7569.0169615982,12945.670262735177,28.814376665465886
3,89,1950,2024,65,5,5,2020,2024,8,2277.2421178298946,nbeats_torch,4214.049775020183,8614.788272271904,8.69404252099906
4,63,1950,2024,65,5,5,2020,2024,12,1621.3274278584327,nbeats_torch,8003.114040697173,14107.172861517927,17.763457527667757
1702,77,1950,2024,65,5,5,2020,2024,8,295.86562972057834,nbeats_torch,538.375785323014,874.998859773478,18.40102268668283
1705,43,1950,2024,65,5,5,2020,2024,12,271.84194689190076,nbeats_torch,516.9364518500333,755.5911723845679,25.452538901151474
1707,35,1950,2024,65,5,5,2020,2024,12,471.16432177481573,nbeats_torch,640.9353624701704,993.8082780890974,12.247949623826258
1710,78,1950,2024,65,5,5,2020,2024,12,328.91781192852096,nbeats_torch,881.6512947539874,1909.1220686479355,21.3867931993279
