dataset_id,n_variables,start_year,end_year,train_len,val_len,test_len,test_year_start,test_year_end,global_mae,global_rmse,global_mape_pct
1,42,1950,2024,65,5,5,2020,2024,11161.644424801781,22686.665026891627,30.935432042603882
2,58,1950,2024,65,5,5,2020,2024,21240.804647932382,36578.59119371148,71.16576226393705
3,89,1950,2024,65,5,5,2020,2024,13731.956946760885,21819.017324073866,34.71885070065305
4,63,1950,2024,65,5,5,2020,2024,8090.048299347408,14588.174516302028,24.301858090776925
1702,77,1950,2024,65,5,5,2020,2024,1032.2030581982106,1787.4132279786304,40.26009719870204
1705,43,1950,2024,65,5,5,2020,2024,1983.052568231627,2666.299098287973,101.35473462680791
1707,35,1950,2024,65,5,5,2020,2024,1415.4019426618304,2064.109036738864,39.71187423527432
1710,78,1950,2024,65,5,5,2020,2024,1467.446219067696,2364.977083645437,81.15970441422645
